Public_art,author,URL,Location,verbatimLatitude,verbatimLongitude
奮勇救人(義勇),朱銘,"https://dga.cpu.edu.tw/p/406-1035-35384,r587.php",力行樓前花圃,25.0461,121.3524
太極系列1,朱銘,"https://dga.cpu.edu.tw/p/406-1035-35385,r587.php",教學大樓東側花圃,25.046,121.352
太極系列2,朱銘,"https://dga.cpu.edu.tw/p/406-1035-35386,r587.php",教學大樓東側花圃,25.0461,121.352
親愛精誠止於至善,楊英風,"https://dga.cpu.edu.tw/p/406-1035-35388,r587.php",羅馬廣場,25.0464,121.3506
孕育,康木祥,"https://dga.cpu.edu.tw/p/406-1035-35407,r587.php",友誼樓廣場,25.0482,121.3532
正義狙擊一瞬間,蔡文祥,"https://dga.cpu.edu.tw/p/406-1035-35389,r587.php",射擊館1樓,25.0476,121.3527
明察秋毫(夢想藍圖),風和設計有限公司,"https://dga.cpu.edu.tw/p/406-1035-35406,r587.php",科學館1樓,25.046,121.3531
明察秋毫(線性思維),林俊傑,"https://dga.cpu.edu.tw/p/406-1035-35405,r587.php",運動場,25.0462,121.3533
明察秋毫(理性思辨),林俊傑,"https://dga.cpu.edu.tw/p/406-1035-35404,r587.php",刑事鑑識大樓1樓,25.046,121.3537
洗禮,黃耿茂,"https://dga.cpu.edu.tw/p/406-1035-35390,r587.php",友誼樓C棟1樓,25.0483,121.3525
空拳擒敵投射精準,陳銀輝,"https://dga.cpu.edu.tw/p/406-1035-35387,r587.php",綜合警技館1樓,25.0482,121.3536
剛柔並濟雕像,陳永鑫,"https://dga.cpu.edu.tw/p/406-1035-35839,r587.php",綜合警技館1樓,25.0481,121.3537
